"","ID","Season","Session","Status","Date.Time","Home.Team","Home.Division","Home.Conference","Home.Score","Away.Team","Away.Division","Away.Conference","Away.Score","Timezone","Home.Shots","Away.Shots","Home.Goals","Away.Goals"
"693","2016020696","20162017","R","Scheduled","2017-01-22T00:00:00Z","PHI","Metropolitan","Eastern","0","NJD","Metropolitan","Eastern","0","America/New_York","0","0","0","0"
"694","2016020694","20162017","R","Scheduled","2017-01-22T00:00:00Z","MTL","Atlantic","Eastern","0","BUF","Atlantic","Eastern","0","America/Montreal","0","0","0","0"
"695","2016020693","20162017","R","Scheduled","2017-01-22T00:00:00Z","TOR","Atlantic","Eastern","0","OTT","Atlantic","Eastern","0","America/Toronto","0","0","0","0"
"696","2016020695","20162017","R","Scheduled","2017-01-22T00:00:00Z","NYI","Metropolitan","Eastern","0","LAK","Pacific","Western","0","America/New_York","0","0","0","0"
"697","2016020698","20162017","R","Scheduled","2017-01-22T01:00:00Z","ARI","Pacific","Western","0","TBL","Atlantic","Eastern","0","America/Phoenix","0","0","0","0"
"698","2016020697","20162017","R","Scheduled","2017-01-22T01:00:00Z","DAL","Central","Western","0","WSH","Metropolitan","Eastern","0","America/Chicago","0","0","0","0"
"699","2016020699","20162017","R","Scheduled","2017-01-22T02:00:00Z","MIN","Central","Western","0","ANA","Pacific","Western","0","America/Chicago","0","0","0","0"
"700","2016020700","20162017","R","Scheduled","2017-01-22T03:00:00Z","CGY","Pacific","Western","0","EDM","Pacific","Western","0","America/Denver","0","0","0","0"
"701","2016020701","20162017","R","Scheduled","2017-01-22T03:30:00Z","SJS","Pacific","Western","0","COL","Central","Western","0","America/Los_Angeles","0","0","0","0"
"702","2016020702","20162017","R","Scheduled","2017-01-22T17:30:00Z","PIT","Metropolitan","Eastern","0","BOS","Atlantic","Eastern","0","America/New_York","0","0","0","0"
"703","2016020703","20162017","R","Scheduled","2017-01-22T20:00:00Z","DET","Atlantic","Eastern","0","NYR","Metropolitan","Eastern","0","America/Detroit","0","0","0","0"
"704","2016020704","20162017","R","Scheduled","2017-01-22T22:00:00Z","OTT","Atlantic","Eastern","0","CBJ","Metropolitan","Eastern","0","America/New_York","0","0","0","0"
"705","2016020705","20162017","R","Scheduled","2017-01-22T23:00:00Z","NYI","Metropolitan","Eastern","0","PHI","Metropolitan","Eastern","0","America/New_York","0","0","0","0"
"706","2016020706","20162017","R","Scheduled","2017-01-23T00:30:00Z","CHI","Central","Western","0","VAN","Pacific","Western","0","America/Chicago","0","0","0","0"
"707","2016020707","20162017","R","Scheduled","2017-01-23T01:00:00Z","MIN","Central","Western","0","NSH","Central","Western","0","America/Chicago","0","0","0","0"
"708","2016020709","20162017","R","Scheduled","2017-01-24T00:00:00Z","WSH","Metropolitan","Eastern","0","CAR","Metropolitan","Eastern","0","America/New_York","0","0","0","0"
"709","2016020708","20162017","R","Scheduled","2017-01-24T00:00:00Z","NYR","Metropolitan","Eastern","0","LAK","Pacific","Western","0","America/New_York","0","0","0","0"
"710","2016020710","20162017","R","Scheduled","2017-01-24T00:30:00Z","TOR","Atlantic","Eastern","0","CGY","Pacific","Western","0","America/Toronto","0","0","0","0"
"711","2016020711","20162017","R","Scheduled","2017-01-24T01:00:00Z","WPG","Central","Western","0","ANA","Pacific","Western","0","America/Winnipeg","0","0","0","0"
